E,p
-4.000000000000000000e+00,2.705956084775735238e-01
-2.000000000000000000e+00,4.560875718895138209e-01
0.000000000000000000e+00,2.259462373399086232e-01
2.000000000000000000e+00,4.391242811048608197e-02
4.000000000000000000e+00,3.458154182518092829e-03
