t,E0,E1,E2,E3,E4,E5,E6,E7
1.705685618729096964e+00,-2.490401576574393872e+00,-2.490396837765682214e+00,-8.786845039947072111e-01,-8.786797651859922231e-01,-8.294361769358017389e-01,-8.294314381270873060e-01,-7.822856344525968009e-01,-7.822808956438818129e-01
1.739130434782608647e+00,-2.480460582416073478e+00,-2.480455398825625490e+00,-8.763291478597168283e-01,-8.763239642692662867e-01,-8.260921401121857910e-01,-8.260869565217350274e-01,-7.780444780346179590e-01,-7.780392944441674175e-01
1.772575250836120331e+00,-2.470521988236118460e+00,-2.470516326236404936e+00,-8.739748365146777775e-01,-8.739691745149591462e-01,-8.227481369161036007e-01,-8.227424749163846363e-01,-7.738046768050521607e-01,-7.737990148053335293e-01
1.806020066889632014e+00,-2.460585824324410975e+00,-2.460579648273915510e+00,-8.716215795267296951e-01,-8.716154034762307878e-01,-8.194041693615318200e-01,-8.193979933110331348e-01,-7.695662514866453696e-01,-7.695600754361466844e-01
1.839464882943143698e+00,-2.450652121503256176e+00,-2.450645393649891091e+00,-8.692693865768791328e-01,-8.692626587235076085e-01,-8.160602395590540459e-01,-8.160535117056822996e-01,-7.653292232206919676e-01,-7.653224953673205544e-01
1.872909698996655381e+00,-2.440720911139484528e+00,-2.440713591519947823e+00,-8.669182674616507933e-01,-8.669109478421096471e-01,-8.127163497198723885e-01,-8.127090301003313533e-01,-7.610936135774987177e-01,-7.610862939579574604e-01
1.906354515050167064e+00,-2.430792225156900521e+00,-2.430784271491879700e+00,-8.645682320947614130e-01,-8.645602784297371501e-01,-8.093725021600038927e-01,-8.093645484949797408e-01,-7.568594445671555926e-01,-7.568514909021313297e-01
1.939799331103678748e+00,-2.420866096049075100e+00,-2.420857463634067841e+00,-8.622192905088189585e-01,-8.622106580938091458e-01,-8.060286993046382742e-01,-8.060200668896285725e-01,-7.526267386506246826e-01,-7.526181062356149809e-01
1.973244147157190653e+00,-2.410942556892500921e+00,-2.410933198484103812e+00,-8.598714528570563509e-01,-8.598620944486544682e-01,-8.026849436926798420e-01,-8.026755852842769601e-01,-7.483955187511651674e-01,-7.483861603427633957e-01
2.006688963210702337e+00,-2.401021641360118419e+00,-2.401011507057574157e+00,-8.575247294150899480e-01,-8.575145951125414667e-01,-7.993412379814747171e-01,-7.993311036789255697e-01,-7.441658082660987938e-01,-7.441556739635503126e-01
2.040133779264214020e+00,-2.391103383735224686e+00,-2.391092420857059864e+00,-8.551791305827132206e-01,-8.551681677045444019e-01,-7.959975849517438862e-01,-7.959866220735751785e-01,-7.399376310789326228e-01,-7.399266682007640261e-01
2.073578595317725703e+00,-2.381187818925784239e+00,-2.381175971881309028e+00,-8.528346668857116342e-01,-8.528228198412295402e-01,-7.926539875127059931e-01,-7.926421404682243432e-01,-7.357110115718462628e-01,-7.356991645273642799e-01
2.107023411371237387e+00,-2.371274982479156801e+00,-2.371262192634606691e+00,-8.504913489777187197e-01,-8.504785591331645023e-01,-7.893104487074277253e-01,-7.892976588628735080e-01,-7.314859746385621309e-01,-7.314731847940080245e-01
2.140468227424749070e+00,-2.361364910597226530e+00,-2.361351116136368056e+00,-8.481491876420946818e-01,-8.481353931812317670e-01,-7.859669717183844773e-01,-7.859531772575220065e-01,-7.272625456976073988e-01,-7.272487512367448170e-01
2.173913043478260754e+00,-2.351457640152005979e+00,-2.351442775930912443e+00,-8.458081937938466410e-01,-8.457933295727483314e-01,-7.826235598732690368e-01,-7.826086956521709492e-01,-7.230407507059861683e-01,-7.230258864848881917e-01
2.207357859531772437e+00,-2.341553208701661060e+00,-2.341537206097460189e+00,-8.434683784815706353e-01,-8.434523758773653235e-01,-7.792802166510248707e-01,-7.792642140468191148e-01,-7.188206161732684230e-01,-7.188046135690633331e-01
2.240802675585284121e+00,-2.331651654507027605e+00,-2.331634441260353796e+00,-8.411297528894361442e-01,-8.411125396427572287e-01,-7.759369456881476390e-01,-7.759197324414686125e-01,-7.146021691761212935e-01,-7.145849559294426001e-01
2.274247491638795804e+00,-2.321753016548607995e+00,-2.321734516599490927e+00,-8.387923283392000329e-01,-8.387738283900761926e-01,-7.725937507852411734e-01,-7.725752508361172222e-01,-7.103854373732886307e-01,-7.103669374241650125e-01
2.307692307692307487e+00,-2.311857334544066500e+00,-2.311837467860979434e+00,-8.364561162922563575e-01,-8.364362496091659605e-01,-7.692506359138564509e-01,-7.692307692307666089e-01,-7.061704490210429785e-01,-7.061505823379529145e-01
2.341137123745819171e+00,-2.301964648966251303e+00,-2.301943331368058399e+00,-8.341211283517182551e-01,-8.340998107535202433e-01,-7.659076052236132304e-01,-7.658862876254154406e-01,-7.019572329891161644e-01,-7.019359153909182636e-01
2.374581939799330854e+00,-2.292075001061755213e+00,-2.292052144032199479e+00,-8.317873762645462410e-01,-8.317645192349863992e-01,-7.625646630496231149e-01,-7.625418060200634951e-01,-6.977458187771428122e-01,-6.977229617475833034e-01
2.408026755852842538e+00,-2.282188432870025707e+00,-2.282163943364510228e+00,-8.294548719236961576e-01,-8.294303824181759044e-01,-7.592218139202328020e-01,-7.591973244147122157e-01,-6.935362365316141142e-01,-6.935117470260939720e-01
2.441471571906354221e+00,-2.272304987243067842e+00,-2.272278767487351026e+00,-8.271236273703220787e-01,-8.270974076145999332e-01,-7.558790625650836370e-01,-7.558528428093617135e-01,-6.893285170633812742e-01,-6.893022973076594617e-01
2.474916387959865904e+00,-2.262424707865726692e+00,-2.262396655146216684e+00,-8.247936547960043052e-01,-8.247656020764906337e-01,-7.525364139235236616e-01,-7.525083612040099901e-01,-6.851226918657110643e-01,-6.850946391461977258e-01
2.508361204013378032e+00,-2.252547639276607949e+00,-2.252517645721894279e+00,-8.224649665450216585e-01,-8.224349729903056572e-01,-7.491938731533741569e-01,-7.491638795986602650e-01,-6.809187931329248045e-01,-6.808887995782091362e-01
2.541806020066889715e+00,-2.242673826889618471e+00,-2.242641779242861233e+00,-8.201375751166660732e-01,-8.201055274699047271e-01,-7.458514456400684445e-01,-7.458193979933072093e-01,-6.767168537796433014e-01,-6.766848061328822883e-01
2.575250836120401399e+00,-2.232803317016195166e+00,-2.232769096397975161e+00,-8.178114931675899424e-01,-8.177772725493663852e-01,-7.425091370061812635e-01,-7.424749163879563740e-01,-6.725169074606464070e-01,-6.724826868424231829e-01
2.608695652173913082e+00,-2.222936156888198678e+00,-2.222899638549448831e+00,-8.154867335142024221e-01,-8.154502151754471351e-01,-7.391669531213600486e-01,-7.391304347826054277e-01,-6.683189885913882744e-01,-6.682824702526334315e-01
2.642140468227424766e+00,-2.213072394681536714e+00,-2.213033447746089788e+00,-8.131633091351005982e-01,-8.131243621996502302e-01,-7.358249001127039612e-01,-7.357859531772543704e-01,-6.641231323691799693e-01,-6.640841854337298233e-01
2.675585284280936449e+00,-2.203212079540522339e+00,-2.203170566736873948e+00,-8.108412331735493916e-01,-8.107997203698957822e-01,-7.324829843755565895e-01,-7.324414715719036462e-01,-6.599293747950671918e-01,-6.598878619914139154e-01
2.709030100334448132e+00,-2.193355261602995210e+00,-2.193311038984766093e+00,-8.085205189400035408e-01,-8.084762963217706488e-01,-7.291412125847854808e-01,-7.290969899665521448e-01,-6.557377526964376369e-01,-6.556935300782050779e-01
